"ORDERLINEID","ORDERID","ITEMID","DESCRIPTION","QUANTITY","UNITPRICE","TAXRATE","PICKEDQUANTITY","PICKINGCOMPLETEDWHEN"
10851,3380,164,"32 mm Double sided bubble wrap 50m",20,112,15,20,24-01-31
10852,3380,217,"Void fill 200 L bag (White) 200L",20,25,15,20,24-01-31
10853,3380,74,"Ride on vintage American toy coupe (Black) 1/12 scale",5,285,15,5,24-01-31
10854,3380,163,"32 mm Double sided bubble wrap 20m",20,37,15,20,24-01-31
10855,3381,62,"RC toy sedan car with remote control (Yellow) 1/50 scale",9,25,15,9,24-07-27
10856,3381,125,"Ogre battery-powered slippers (Green) XL",3,32,15,3,24-07-27
10857,3381,9,"USB food flash drive - banana",3,32,15,3,24-07-27
10858,3381,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",10,13,15,10,24-07-27
10859,3382,207,"Permanent marker blue 5mm nib (Blue) 5mm",12,2.7,15,12,23-03-06
10860,3382,37,"Developer joke mug - when your hammer is C++ (Black)",8,13,15,8,23-03-06
10861,3383,24,"DBA joke mug - I will get you in order (White)",4,13,15,4,23-12-21
11742,3654,116,"Superhero action jacket (Blue) 4XL",3,34,15,3,24-12-24
11743,3655,40,"Developer joke mug - (hip, hip, array) (White)",6,13,15,6,23-09-29
11744,3655,114,"Superhero action jacket (Blue) XXL",4,30,15,4,23-09-29
11745,3655,173,"32 mm Anti static bubble wrap (Blue) 50m",70,105,15,70,23-09-29
11746,3655,162,"32 mm Double sided bubble wrap 10m",60,22,15,60,23-09-29
11747,3655,66,"RC big wheel monster truck with remote control (Black) 1/50 scale",8,45,15,8,23-09-29
11748,3656,196,"Black and orange handle with care despatch tape  48mmx100m",192,4.1,15,192,24-01-24
11749,3656,11,"USB food flash drive - cookie",5,32,15,5,24-01-24
11750,3656,45,"Developer joke mug - there are 10 types of people in the world (Black)",10,13,15,10,24-01-24
11751,3656,121,"Dinosaur battery-powered slippers (Green) XL",1,32,15,1,24-01-24
11752,3657,137,"Animal with big feet slippers (Brown) XL",5,32,15,5,23-06-24
11753,3657,57,"IT joke mug - hardware: part of the computer that can be kicked (Black)",6,13,15,6,23-06-24
11754,3680,86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",48,18,15,48,24-06-02
11755,3658,108,"Superhero action jacket (Blue) XXS",5,25,15,5,23-07-10
11756,3658,216,"Void fill 100 L bag (White) 100L",70,12.5,15,70,23-07-10
11757,3658,19,"DBA joke mug - daaaaaa-ta (Black)",5,13,15,5,23-07-10
11758,3658,13,"USB food flash drive - shrimp cocktail",7,32,15,7,23-07-10
11759,3659,146,"Halloween skull mask (Gray) S",120,18,15,120,23-05-04
11760,3659,18,"DBA joke mug - daaaaaa-ta (White)",9,13,15,9,23-05-04
11761,3659,190,"Clear packaging tape 48mmx100m",160,3.5,15,160,23-05-04
11762,3659,71,"Ride on toy sedan car (Yellow) 1/12 scale",3,230,15,3,23-05-04
11763,3659,130,"Furry gorilla with big eyes slippers (Black) S",4,32,15,4,23-05-04
11764,3660,13,"USB food flash drive - shrimp cocktail",7,32,15,7,23-05-23
11765,3660,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",84,18,15,84,23-05-23
11766,3660,207,"Permanent marker blue 5mm nib (Blue) 5mm",48,2.7,15,48,23-05-23
11767,3681,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",48,18,15,48,24-07-09
11768,3660,218,"Void fill 300 L bag (White) 300L",10,37.5,15,10,23-05-23
11769,3661,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",12,18,15,12,23-11-28
11770,3661,20,"DBA joke mug - you might be a DBA if (White)",1,13,15,1,23-11-28
11771,3662,168,"20 mm Anti static bubble wrap (Blue) 10m",50,29,15,50,24-09-18
11772,3662,103,"Alien officer hoodie (Black) XXL",6,35,15,6,24-09-18
11773,3662,87,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",60,18,15,60,24-09-18
11774,3662,144,"Halloween zombie mask (Light Brown) L",36,18,15,36,24-09-18
11775,3663,64,"RC vintage American toy coupe with remote control (Red) 1/50 scale",5,30,15,5,23-03-19
11776,3663,140,"Furry animal socks (Pink) L",72,5,15,72,23-03-19
11777,3663,122,"Ogre battery-powered slippers (Green) S",9,32,15,9,23-03-19
11778,3663,9,"USB food flash drive - banana",9,32,15,9,23-03-19
11779,3664,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",9,13,15,9,23-09-18
11780,3664,40,"Developer joke mug - (hip, hip, array) (White)",6,13,15,6,23-09-18
11781,3664,163,"32 mm Double sided bubble wrap 20m",70,37,15,70,23-09-18
11782,3665,132,"Furry gorilla with big eyes slippers (Black) L",10,32,15,10,24-12-13
11783,3665,87,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",24,18,15,24,24-12-13
11784,3666,169,"20 mm Anti static bubble wrap (Blue) 20m",10,45,15,10,23-06-28
11785,3666,200,"Black and yellow heavy despatch tape 48mmx100m",144,4.1,15,144,23-06-28
11786,3667,115,"Superhero action jacket (Blue) 3XL",1,34,15,1,23-06-21
11787,3667,3,"Office cube periscope (Black)",30,18.5,15,30,23-06-21
11788,3668,102,"Alien officer hoodie (Black) XL",5,35,15,5,23-01-31
11789,3668,159,"20 mm Double sided bubble wrap 10m",100,18,15,100,23-01-31
11790,3669,206,"Permanent marker black 5mm nib (Black) 5mm",36,2.7,15,36,24-07-24
11791,3669,178,"Shipping carton (Brown) 500x310x310mm",25,2.55,15,25,24-07-24
11792,3669,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",24,18,15,24,24-07-24
11793,3669,107,"Superhero action jacket (Blue) 3XS",4,25,15,4,24-07-24
11794,3670,185,"Shipping carton (Brown) 356x356x279mm",75,2.04,15,75,23-03-10
11795,3670,207,"Permanent marker blue 5mm nib (Blue) 5mm",36,2.7,15,36,23-03-10
11796,3670,109,"Superhero action jacket (Blue) XS",5,25,15,5,23-03-10
11797,3670,218,"Void fill 300 L bag (White) 300L",80,37.5,15,80,23-03-10
11798,3670,25,"DBA joke mug - I will get you in order (Black)",2,13,15,2,23-03-10
11799,3671,183,"Shipping carton (Brown) 480x270x320mm",250,2.74,15,250,23-07-05
11800,3682,98,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",48,18,15,48,24-03-21
11801,3671,56,"IT joke mug - hardware: part of the computer that can be kicked (White)",4,13,15,4,23-07-05
12678,3953,74,"Ride on vintage American toy coupe (Black) 1/12 scale",10,285,15,10,23-03-28
12679,3953,4,"USB food flash drive - sushi roll",7,32,15,7,23-03-28
12680,3953,68,"Ride on toy sedan car (Red) 1/12 scale",2,230,15,2,23-03-28
12681,3953,125,"Ogre battery-powered slippers (Green) XL",10,32,15,10,23-03-28
12682,3953,119,"Dinosaur battery-powered slippers (Green) M",7,32,15,7,23-03-28
12683,3954,122,"Ogre battery-powered slippers (Green) S",1,32,15,1,24-02-17
12684,3954,139,"Furry animal socks (Pink) M",72,5,15,72,24-02-17
12685,3954,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",120,18,15,120,24-02-17
12686,3955,94,"""The Gu"" red shirt XML tag t-shirt (Black) L",108,18,15,108,24-01-29
12687,3955,189,"Clear packaging tape 48mmx75m",104,2.9,15,104,24-01-29
12688,3955,39,"Developer joke mug - inheritance is the OO way to become wealthy (Black)",5,13,15,5,24-01-29
12689,3956,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",60,18,15,60,23-09-10
12690,3956,97,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",72,18,15,72,23-09-10
12691,3957,58,"RC toy sedan car with remote control (Black) 1/50 scale",3,25,15,3,23-09-04
12692,3957,106,"Alien officer hoodie (Black) 5XL",8,35,15,8,23-09-04
12693,3958,151,"Pack of 12 action figures (male)",4,16,15,4,23-11-28
12694,3958,102,"Alien officer hoodie (Black) XL",10,35,15,10,23-11-28
12695,3959,27,"DBA joke mug - SELECT caffeine FROM mug (Black)",7,13,15,7,24-04-04
12696,3959,10,"USB food flash drive - chocolate bar",10,32,15,10,24-04-04
12697,3959,197,"Black and orange this way up despatch tape 48mmx75m",24,3.7,15,24,24-04-04
12698,4004,86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",60,18,15,60,24-02-16
12699,3959,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",60,18,15,60,24-04-04
12700,3960,7,"USB food flash drive - pizza slice",5,32,15,5,23-01-03
12701,3960,99,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",48,18,15,48,23-01-03
12702,3961,21,"DBA joke mug - you might be a DBA if (Black)",1,13,15,1,24-10-29
12703,3961,200,"Black and yellow heavy despatch tape 48mmx100m",216,4.1,15,216,24-10-29
12704,3961,136,"Animal with big feet slippers (Brown) L",10,32,15,10,24-10-29
12705,3961,194,"Black and orange glass with care despatch tape  48mmx100m",144,4.1,15,144,24-10-29
12706,3962,145,"Halloween zombie mask (Light Brown) XL",72,18,15,72,23-05-25
12707,3962,151,"Pack of 12 action figures (male)",8,16,15,8,23-05-25
12708,3962,161,"20 mm Double sided bubble wrap 50m",90,108,15,90,23-05-25
12709,3962,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",1,13,15,1,23-05-25
12710,3962,162,"32 mm Double sided bubble wrap 10m",70,22,15,70,23-05-25
12711,3963,214,"Air cushion film 200mmx200mm 325m",4,90,15,4,23-11-07
12712,3963,62,"RC toy sedan car with remote control (Yellow) 1/50 scale",2,25,15,2,23-11-07
12713,3964,216,"Void fill 100 L bag (White) 100L",60,12.5,15,60,24-03-13
12714,3964,56,"IT joke mug - hardware: part of the computer that can be kicked (White)",10,13,15,10,24-03-13
12715,3964,82,"""The Gu"" red shirt XML tag t-shirt (White) XL",12,18,15,12,24-03-13
12716,3964,61,"RC toy sedan car with remote control (Green) 1/50 scale",5,25,15,5,24-03-13
12717,3965,58,"RC toy sedan car with remote control (Black) 1/50 scale",1,25,15,1,23-03-26
12718,3965,121,"Dinosaur battery-powered slippers (Green) XL",6,32,15,6,23-03-26
12719,3965,183,"Shipping carton (Brown) 480x270x320mm",125,2.74,15,125,23-03-26
12720,3965,39,"Developer joke mug - inheritance is the OO way to become wealthy (Black)",7,13,15,7,23-03-26
12721,3966,21,"DBA joke mug - you might be a DBA if (Black)",1,13,15,1,24-06-12
12722,3966,9,"USB food flash drive - banana",7,32,15,7,24-06-12
12723,3967,17,"DBA joke mug - mind if I join you? (Black)",2,13,15,2,24-04-15
12724,3967,177,"Shipping carton (Brown) 413x285x187mm",200,1.05,15,200,24-04-15
12725,3967,63,"RC toy sedan car with remote control (Pink) 1/50 scale",5,25,15,5,24-04-15
12726,3967,105,"Alien officer hoodie (Black) 4XL",5,35,15,5,24-04-15
12727,3967,13,"USB food flash drive - shrimp cocktail",6,32,15,6,24-04-15
12728,3968,20,"DBA joke mug - you might be a DBA if (White)",3,13,15,3,23-09-05
12729,3968,92,"""The Gu"" red shirt XML tag t-shirt (Black) S",120,18,15,120,23-09-05
12730,3969,207,"Permanent marker blue 5mm nib (Blue) 5mm",96,2.7,15,96,23-07-28
12731,3969,125,"Ogre battery-powered slippers (Green) XL",5,32,15,5,23-07-28
12732,3969,10,"USB food flash drive - chocolate bar",6,32,15,6,23-07-28
12733,3970,157,"10 mm Double sided bubble wrap 20m",50,30,15,50,24-11-15
12734,3970,165,"10 mm Anti static bubble wrap (Blue) 10m",40,26,15,40,24-11-15
12735,3970,181,"Shipping carton (Brown) 356x229x229mm",50,1.14,15,50,24-11-15
9989,3114,77,"""The Gu"" red shirt XML tag t-shirt (White) XXS",12,18,15,12,24-08-25
9990,3115,75,"Ride on big wheel monster truck (Black) 1/12 scale",8,345,15,8,23-01-27
9991,3115,125,"Ogre battery-powered slippers (Green) XL",8,32,15,8,23-01-27
9992,3116,196,"Black and orange handle with care despatch tape  48mmx100m",96,4.1,15,96,23-05-05
9993,3116,202,"Red and white urgent  heavy despatch tape  48mmx100m",144,4.1,15,144,23-05-05
9994,3116,66,"RC big wheel monster truck with remote control (Black) 1/50 scale",8,45,15,8,23-05-05
9995,3116,71,"Ride on toy sedan car (Yellow) 1/12 scale",1,230,15,1,23-05-05
9996,3117,42,"Developer joke mug - understanding recursion requires understanding recursion (White)",9,13,15,9,24-03-26
9997,3117,76,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",36,18,15,36,24-03-26
9998,3117,176,"Bubblewrap dispenser (Red) 1.5m",5,240,15,5,24-03-26
9999,3117,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",120,18,15,120,24-03-26
10000,3117,25,"DBA joke mug - I will get you in order (Black)",4,13,15,4,24-03-26
10001,3118,119,"Dinosaur battery-powered slippers (Green) M",10,32,15,10,24-12-29
10002,3118,177,"Shipping carton (Brown) 413x285x187mm",175,1.05,15,175,24-12-29
10003,3118,214,"Air cushion film 200mmx200mm 325m",7,90,15,7,24-12-29
10004,3118,131,"Furry gorilla with big eyes slippers (Black) M",10,32,15,10,24-12-29
10005,3119,160,"20 mm Double sided bubble wrap 20m",100,33,15,100,23-01-10
10006,3119,209,"Packing knife with metal insert blade (Yellow) 9mm",30,1.89,15,30,23-01-10
10007,3120,174,"Bubblewrap dispenser (Black) 1.5m",1,240,15,1,23-11-26
10008,3120,21,"DBA joke mug - you might be a DBA if (Black)",6,13,15,6,23-11-26
10009,3121,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",60,18,15,60,23-07-22
10010,3121,170,"20 mm Anti static bubble wrap (Blue) 50m",70,102,15,70,23-07-22
10011,3121,82,"""The Gu"" red shirt XML tag t-shirt (White) XL",84,18,15,84,23-07-22
10012,3121,36,"Developer joke mug - when your hammer is C++ (White)",10,13,15,10,23-07-22
10013,3121,217,"Void fill 200 L bag (White) 200L",30,25,15,30,23-07-22
10014,3122,9,"USB food flash drive - banana",7,32,15,7,23-04-27
10015,3122,196,"Black and orange handle with care despatch tape  48mmx100m",96,4.1,15,96,23-04-27
10016,3122,110,"Superhero action jacket (Blue) S",7,25,15,7,23-04-27
10017,3122,117,"Superhero action jacket (Blue) 5XL",7,34,15,7,23-04-27
10018,3122,158,"10 mm Double sided bubble wrap 50m",70,105,15,70,23-04-27
10019,3123,123,"Ogre battery-powered slippers (Green) M",9,32,15,9,24-01-07
10020,3123,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",1,13,15,1,24-01-07
10021,3124,118,"Dinosaur battery-powered slippers (Green) S",4,32,15,4,23-12-30
10022,3124,179,"Shipping carton (Brown) 229x229x229mm",200,1.05,15,200,23-12-30
10023,3124,107,"Superhero action jacket (Blue) 3XS",3,25,15,3,23-12-30
10024,3124,121,"Dinosaur battery-powered slippers (Green) XL",1,32,15,1,23-12-30
10025,3124,215,"Air cushion machine (Blue)",5,1899,15,5,23-12-30
10026,3125,62,"RC toy sedan car with remote control (Yellow) 1/50 scale",10,25,15,10,24-11-14
10027,3125,83,"""The Gu"" red shirt XML tag t-shirt (White) XXL",72,18,15,72,24-11-14
10028,3126,180,"Shipping carton (Brown) 279x254x217mm",200,1.11,15,200,24-01-15
10029,3126,202,"Red and white urgent  heavy despatch tape  48mmx100m",168,4.1,15,168,24-01-15
10030,3126,191,"Black and orange fragile despatch tape 48mmx75m",360,3.7,15,360,24-01-15
10031,3127,134,"Animal with big feet slippers (Brown) S",7,32,15,7,24-12-04
10032,3127,12,"USB food flash drive - donut",7,32,15,7,24-12-04
10033,3128,124,"Ogre battery-powered slippers (Green) L",5,32,15,5,24-04-25
10034,3128,107,"Superhero action jacket (Blue) 3XS",1,25,15,1,24-04-25
10035,3129,199,"Black and yellow heavy despatch tape  48mmx75m",216,3.7,15,216,24-12-01
10036,3129,128,"Plush shark slippers (Gray) L",10,32,15,10,24-12-01
10037,3129,44,"Developer joke mug - there are 10 types of people in the world (White)",5,13,15,5,24-12-01
10038,3130,149,"Halloween skull mask (Gray) XL",120,18,15,120,23-10-20
10039,3130,26,"DBA joke mug - SELECT caffeine FROM mug (White)",9,13,15,9,23-10-20
10040,3131,112,"Superhero action jacket (Blue) L",6,30,15,6,24-01-01
10041,3131,37,"Developer joke mug - when your hammer is C++ (Black)",1,13,15,1,24-01-01
10042,3131,83,"""The Gu"" red shirt XML tag t-shirt (White) XXL",108,18,15,108,24-01-01
10043,3131,171,"32 mm Anti static bubble wrap (Blue) 10m",10,32,15,10,24-01-01
10044,3131,133,"Furry gorilla with big eyes slippers (Black) XL",3,32,15,3,24-01-01
10045,3132,12,"USB food flash drive - donut",1,32,15,1,24-07-08
10046,3132,213,"Air cushion film 200mmx100mm 325m",7,87,15,7,24-07-08
10862,3383,212,"Large  replacement blades 18mm",90,4.3,15,90,23-12-21
10863,3383,216,"Void fill 100 L bag (White) 100L",20,12.5,15,20,23-12-21
10864,3384,176,"Bubblewrap dispenser (Red) 1.5m",9,240,15,9,24-08-12
10865,3384,21,"DBA joke mug - you might be a DBA if (Black)",5,13,15,5,24-08-12
10866,3384,218,"Void fill 300 L bag (White) 300L",30,37.5,15,30,24-08-12
10867,3384,41,"Developer joke mug - (hip, hip, array) (Black)",10,13,15,10,24-08-12
10868,3385,149,"Halloween skull mask (Gray) XL",84,18,15,84,24-04-22
10869,3385,123,"Ogre battery-powered slippers (Green) M",1,32,15,1,24-04-22
10870,3441,78,"""The Gu"" red shirt XML tag t-shirt (White) XS",108,18,15,0,
10871,3386,113,"Superhero action jacket (Blue) XL",7,30,15,7,24-07-20
10872,3386,142,"Halloween zombie mask (Light Brown) S",120,18,15,120,24-07-20
10873,3386,82,"""The Gu"" red shirt XML tag t-shirt (White) XL",108,18,15,108,24-07-20
10874,3386,13,"USB food flash drive - shrimp cocktail",10,32,15,10,24-07-20
10875,3386,219,"Void fill 400 L bag (White) 400L",20,50,15,20,24-07-20
10876,3387,102,"Alien officer hoodie (Black) XL",8,35,15,8,23-04-12
10877,3387,14,"USB food flash drive - fortune cookie",8,32,15,8,23-04-12
10878,3388,140,"Furry animal socks (Pink) L",72,5,15,72,23-12-30
10879,3388,72,"Ride on toy sedan car (Pink) 1/12 scale",5,230,15,5,23-12-30
10880,3388,93,"""The Gu"" red shirt XML tag t-shirt (Black) M",24,18,15,24,23-12-30
10881,3388,48,"Developer joke mug - this code was generated by a tool (White)",2,13,15,2,23-12-30
10882,3388,132,"Furry gorilla with big eyes slippers (Black) L",7,32,15,7,23-12-30
10883,3389,137,"Animal with big feet slippers (Brown) XL",4,32,15,4,23-10-04
10884,3389,213,"Air cushion film 200mmx100mm 325m",10,87,15,10,23-10-04
10885,3437,78,"""The Gu"" red shirt XML tag t-shirt (White) XS",72,18,15,72,23-10-04
10886,3389,35,"Developer joke mug - fun was unexpected at this time (Black)",1,13,15,1,23-10-04
10887,3390,192,"Black and orange fragile despatch tape 48mmx100m",288,4.1,15,288,23-10-02
10888,3390,201,"Red and white urgent despatch tape 48mmx75m",48,3.7,15,48,23-10-02
10889,3390,125,"Ogre battery-powered slippers (Green) XL",8,32,15,8,23-10-02
10890,3391,25,"DBA joke mug - I will get you in order (Black)",7,13,15,7,23-08-01
10891,3391,156,"10 mm Double sided bubble wrap 10m",90,15,15,90,23-08-01
10892,3391,174,"Bubblewrap dispenser (Black) 1.5m",9,240,15,9,23-08-01
10893,3392,179,"Shipping carton (Brown) 229x229x229mm",25,1.05,15,25,24-10-02
10894,3438,95,"""The Gu"" red shirt XML tag t-shirt (Black) XL",120,18,15,120,23-05-26
10895,3392,213,"Air cushion film 200mmx100mm 325m",7,87,15,7,24-10-02
10896,3392,21,"DBA joke mug - you might be a DBA if (Black)",4,13,15,4,24-10-02
10897,3392,115,"Superhero action jacket (Blue) 3XL",7,34,15,7,24-10-02
10898,3393,219,"Void fill 400 L bag (White) 400L",70,50,15,70,24-09-25
10899,3393,91,"""The Gu"" red shirt XML tag t-shirt (Black) XS",36,18,15,36,24-09-25
10900,3393,116,"Superhero action jacket (Blue) 4XL",4,34,15,4,24-09-25
10901,3394,106,"Alien officer hoodie (Black) 5XL",3,35,15,3,24-09-02
10902,3394,143,"Halloween zombie mask (Light Brown) M",48,18,15,48,24-09-02
10903,3395,105,"Alien officer hoodie (Black) 4XL",4,35,15,4,23-06-21
10904,3395,54,"IT joke mug - that behavior is by design (White)",4,13,15,4,23-06-21
10905,3396,101,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",48,18,15,48,23-02-01
10906,3396,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",120,18,15,120,23-02-01
10907,3396,203,"Tape dispenser (Black)",40,32,15,40,23-02-01
10908,3396,28,"DBA joke mug - two types of DBAs (White)",7,13,15,7,23-02-01
10909,3396,212,"Large  replacement blades 18mm",40,4.3,15,40,23-02-01
10910,3397,183,"Shipping carton (Brown) 480x270x320mm",175,2.74,15,175,24-11-15
10911,3397,37,"Developer joke mug - when your hammer is C++ (Black)",5,13,15,5,24-11-15
10912,3398,154,"Medium sized bubblewrap roll 20m",80,20,15,80,23-01-24
10913,3398,125,"Ogre battery-powered slippers (Green) XL",8,32,15,8,23-01-24
10914,3399,21,"DBA joke mug - you might be a DBA if (Black)",5,13,15,5,23-06-24
10915,3399,186,"Shipping carton (Brown) 457x457x457mm",125,2.1,15,125,23-06-24
10916,3399,48,"Developer joke mug - this code was generated by a tool (White)",5,13,15,5,23-06-24
10917,3399,28,"DBA joke mug - two types of DBAs (White)",10,13,15,10,23-06-24
10918,3400,141,"Furry animal socks (Pink) XL",120,5,15,120,24-01-28
10919,3400,42,"Developer joke mug - understanding recursion requires understanding recursion (White)",3,13,15,3,24-01-28
10920,3400,75,"Ride on big wheel monster truck (Black) 1/12 scale",10,345,15,10,24-01-28
10921,3401,14,"USB food flash drive - fortune cookie",6,32,15,6,23-08-07
11802,3671,4,"USB food flash drive - sushi roll",9,32,15,9,23-07-05
11803,3683,9,"USB food flash drive - banana",5,32,15,5,24-01-04
11804,3683,84,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",72,18,15,72,24-01-04
11805,3684,162,"32 mm Double sided bubble wrap 10m",50,22,15,50,23-07-29
11806,3684,190,"Clear packaging tape 48mmx100m",180,3.5,15,180,23-07-29
11807,3684,22,"DBA joke mug - it depends (White)",3,13,15,3,23-07-29
11808,3684,118,"Dinosaur battery-powered slippers (Green) S",8,32,15,8,23-07-29
11809,3684,25,"DBA joke mug - I will get you in order (Black)",3,13,15,3,23-07-29
11810,3685,127,"Plush shark slippers (Gray) M",1,32,15,1,23-06-12
11811,3685,79,"""The Gu"" red shirt XML tag t-shirt (White) S",120,18,15,120,23-06-12
11812,3685,22,"DBA joke mug - it depends (White)",8,13,15,8,23-06-12
11813,3686,35,"Developer joke mug - fun was unexpected at this time (Black)",6,13,15,6,23-02-12
11814,3686,90,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",60,18,15,60,23-02-12
11815,3686,177,"Shipping carton (Brown) 413x285x187mm",50,1.05,15,50,23-02-12
11816,3687,158,"10 mm Double sided bubble wrap 50m",60,105,15,60,23-09-20
11817,3687,111,"Superhero action jacket (Blue) M",2,30,15,2,23-09-20
11818,3687,112,"Superhero action jacket (Blue) L",10,30,15,10,23-09-20
11819,3688,107,"Superhero action jacket (Blue) 3XS",3,25,15,3,23-10-04
11820,3754,80,"""The Gu"" red shirt XML tag t-shirt (White) M",48,18,15,48,24-10-30
11821,3688,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",3,13,15,3,23-10-04
11822,3688,164,"32 mm Double sided bubble wrap 50m",70,112,15,70,23-10-04
11823,3689,8,"USB food flash drive - dim sum 10 drive variety pack",3,240,15,3,24-08-27
11824,3689,205,"Tape dispenser (Blue)",50,32,15,50,24-08-27
11825,3689,195,"Black and orange handle with care despatch tape  48mmx75m",120,3.7,15,120,24-08-27
11826,3689,180,"Shipping carton (Brown) 279x254x217mm",250,1.11,15,250,24-08-27
11827,3689,188,"3 kg Courier post bag (White) 300x190x95mm",250,0.66,15,250,24-08-27
11828,3755,78,"""The Gu"" red shirt XML tag t-shirt (White) XS",72,18,15,72,23-04-23
11829,3690,102,"Alien officer hoodie (Black) XL",7,35,15,7,23-05-24
11830,3690,170,"20 mm Anti static bubble wrap (Blue) 50m",30,102,15,30,23-05-24
11831,3690,32,"Developer joke mug - that's a hardware problem (White)",1,13,15,1,23-05-24
11832,3690,62,"RC toy sedan car with remote control (Yellow) 1/50 scale",2,25,15,2,23-05-24
11833,3691,13,"USB food flash drive - shrimp cocktail",9,32,15,9,24-11-09
11834,3691,193,"Black and orange glass with care despatch tape 48mmx75m",120,3.7,15,120,24-11-09
11835,3691,163,"32 mm Double sided bubble wrap 20m",80,37,15,80,24-11-09
11836,3691,205,"Tape dispenser (Blue)",50,32,15,50,24-11-09
11837,3691,75,"Ride on big wheel monster truck (Black) 1/12 scale",2,345,15,2,24-11-09
11838,3692,219,"Void fill 400 L bag (White) 400L",30,50,15,30,23-04-19
11839,3692,128,"Plush shark slippers (Gray) L",5,32,15,5,23-04-19
11840,3692,89,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",120,18,15,120,23-04-19
11841,3693,135,"Animal with big feet slippers (Brown) M",6,32,15,6,24-08-24
11842,3693,11,"USB food flash drive - cookie",1,32,15,1,24-08-24
11843,3693,44,"Developer joke mug - there are 10 types of people in the world (White)",2,13,15,2,24-08-24
11844,3693,36,"Developer joke mug - when your hammer is C++ (White)",9,13,15,9,24-08-24
11845,3693,128,"Plush shark slippers (Gray) L",1,32,15,1,24-08-24
11846,3694,40,"Developer joke mug - (hip, hip, array) (White)",3,13,15,3,24-03-14
11847,3694,165,"10 mm Anti static bubble wrap (Blue) 10m",20,26,15,20,24-03-14
11848,3694,159,"20 mm Double sided bubble wrap 10m",100,18,15,100,24-03-14
11849,3694,43,"Developer joke mug - understanding recursion requires understanding recursion (Black)",4,13,15,4,24-03-14
11850,3695,179,"Shipping carton (Brown) 229x229x229mm",150,1.05,15,150,23-08-18
11851,3695,39,"Developer joke mug - inheritance is the OO way to become wealthy (Black)",4,13,15,4,23-08-18
11852,3695,100,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",84,18,15,84,23-08-18
11853,3696,24,"DBA joke mug - I will get you in order (White)",1,13,15,1,24-09-12
11854,3696,116,"Superhero action jacket (Blue) 4XL",2,34,15,2,24-09-12
11855,3697,27,"DBA joke mug - SELECT caffeine FROM mug (Black)",7,13,15,7,24-12-29
11856,3697,86,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",24,18,15,24,24-12-29
11857,3697,20,"DBA joke mug - you might be a DBA if (White)",1,13,15,1,24-12-29
11858,3697,96,"""The Gu"" red shirt XML tag t-shirt (Black) XXL",48,18,15,48,24-12-29
11859,3698,157,"10 mm Double sided bubble wrap 20m",20,30,15,20,24-06-18
11860,3698,83,"""The Gu"" red shirt XML tag t-shirt (White) XXL",48,18,15,48,24-06-18
12736,3970,155,"Large sized bubblewrap roll 50m",100,24,15,100,24-11-15
12737,3970,167,"10 mm Anti static bubble wrap (Blue) 50m",70,99,15,70,24-11-15
12738,3971,160,"20 mm Double sided bubble wrap 20m",30,33,15,30,23-07-01
12739,3971,195,"Black and orange handle with care despatch tape  48mmx75m",192,3.7,15,192,23-07-01
12740,3971,111,"Superhero action jacket (Blue) M",4,30,15,4,23-07-01
12741,3971,31,"Developer joke mug - Oct 31 = Dec 25 (Black)",4,13,15,4,23-07-01
12742,3971,140,"Furry animal socks (Pink) L",60,5,15,60,23-07-01
12743,3972,29,"DBA joke mug - two types of DBAs (Black)",5,13,15,5,23-02-20
12744,3972,165,"10 mm Anti static bubble wrap (Blue) 10m",40,26,15,40,23-02-20
12745,3972,211,"Small 9mm replacement blades 9mm",80,4.1,15,80,23-02-20
12746,3972,54,"IT joke mug - that behavior is by design (White)",1,13,15,1,23-02-20
